Category: All categories

Region,mormon: (12/12/17 - 12/12/18)
Utah,100
Idaho,40
Wyoming,22
Arizona,15
Alaska,13
Nevada,11
Montana,10
Washington,10
Oregon,9
Colorado,9
New Mexico,9
Hawaii,8
Nebraska,7
California,6
New York,6
District of Columbia,5
Minnesota,5
Iowa,5
Oklahoma,5
Missouri,5
Vermont,5
Virginia,5
South Dakota,5
North Dakota,4
Texas,4
Kansas,4
Arkansas,4
Maryland,4
Tennessee,4
North Carolina,4
Massachusetts,4
New Hampshire,4
Illinois,4
Wisconsin,4
Maine,4
Connecticut,4
Indiana,4
Georgia,4
Alabama,4
Ohio,4
South Carolina,4
New Jersey,4
Kentucky,4
West Virginia,4
Mississippi,4
Michigan,3
Delaware,3
Pennsylvania,3
Florida,3
Rhode Island,3
Louisiana,3
